sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
松山,臺北市,60,細懸浮微粒,普通,0.9,0.44,16,28,26,18,19,22.9,3,0.6,300,"2026/04/04 09:00:00",0.3,15.9,20,1,121.578611,25.05,15
大同,臺北市,57,細懸浮微粒,普通,0.7,0.67,9,20,9,11,29,46.2,16.4,-,-,"2026/04/04 09:00:00",0.6,14.7,15,0,121.51342074,25.06331455,16
桃園,桃園市,40,,良好,0.3,0.47,24,33,14,8,17,19.6,1.7,0.3,191,"2026/04/04 09:00:00",0.3,9.6,10,0,121.30500531,24.9947107,17
大園,桃園市,36,,良好,0.6,0.37,22,33,10,10,15,17.2,1.7,1.6,152,"2026/04/04 09:00:00",0.2,7,10,0,121.20251473,25.06100357,18
觀音,桃園市,32,,良好,0,0.28,24,35,6,5,12,13.5,1.2,0.3,201,"2026/04/04 09:00:00",0.2,7,8,0,121.08283092,25.03556747,19
平鎮,桃園市,34,,良好,0.1,0.4,30,37,1,5,9,11.2,1.7,0.6,203,"2026/04/04 09:00:00",0.2,7.7,7,0,121.203986,24.952786,20
龍潭,桃園市,34,,良好,0.4,0.39,30,37,5,4,11,13.3,1.7,0.8,195,"2026/04/04 09:00:00",0.2,6.4,9,0,121.21645772,24.86400048,21
湖口,新竹縣,34,,良好,1.1,0.34,29,37,3,,8,9.8,0.9,0.2,157,"2026/04/04 09:00:00",0.2,,6,2,121.03886894,24.90009696,22
竹東,新竹縣,33,,良好,1,0.37,33,36,5,2,8,8.5,0.3,1,87,"2026/04/04 09:00:00",0.2,6.3,7,0,121.08895493,24.74091408,23
新竹,新竹市,38,,良好,1.2,0.36,28,35,1,3,16,18.7,1.7,0.6,104,"2026/04/04 09:00:00",0.2,5.6,7,0,120.97236752,24.8056356,24
頭份,苗栗縣,35,,良好,1.4,0.31,35,38,3,2,5,5.6,0.6,1.2,78,"2026/04/04 09:00:00",0.2,5.7,11,1,120.89869286,24.69690679,25
苗栗,苗栗縣,40,,良好,0.9,0.32,37,41,5,2,5,6.3,1,1.8,184,"2026/04/04 09:00:00",0.2,9.9,12,1,120.82011468,24.56499183,26
三義,苗栗縣,44,,良好,0.8,0.26,44,41,1,0,1,1.3,0,3.8,21,"2026/04/04 09:00:00",0.2,10.9,18,1,120.75956754,24.38248443,27
豐原,臺中市,60,細懸浮微粒,普通,0.8,0.27,41,40,3,5,5,6.3,0.9,3,67,"2026/04/04 09:00:00",0.2,15.7,27,1,120.74252414,24.25699731,28
沙鹿,臺中市,64,細懸浮微粒,普通,0.6,0.26,37,36,9,6,4,5.2,0.8,2.6,61,"2026/04/04 09:00:00",0.2,17.3,27,0,120.568794,24.225628,29
大里,臺中市,70,細懸浮微粒,普通,0.9,0.3,24,28,24,19,5,5.8,0.2,2.1,60,"2026/04/04 09:00:00",0.2,19.6,34,0,120.67844444,24.09961111,30
忠明,臺中市,69,細懸浮微粒,普通,1.2,0.27,32,32,20,11,6,7.6,1.3,2.4,30,"2026/04/04 09:00:00",0.2,19,28,1,120.641092,24.151958,31
西屯,臺中市,61,細懸浮微粒,普通,1.1,0.27,32,31,21,9,4,5.7,1.5,4.2,17,"2026/04/04 09:00:00",0.2,16,29,1,120.616917,24.162197,32
彰化,彰化縣,73,細懸浮微粒,普通,0.5,0.24,30,33,31,18,4,5.7,1.3,3,23,"2026/04/04 09:00:00",0.1,20.7,32,0,120.541519,24.066,33
線西,彰化縣,66,細懸浮微粒,普通,0.8,0.28,36,34,16,8,3,4.2,0.7,6.1,45,"2026/04/04 09:00:00",0.2,17.9,29,1,120.469061,24.131672,34
二林,彰化縣,69,細懸浮微粒,普通,0.2,0.22,28,32,29,17,2,3.4,1,2.8,218,"2026/04/04 09:00:00",0.2,18.9,34,1,120.409653,23.925175,35
南投,南投縣,80,細懸浮微粒,普通,0,0.26,27,31,26,23,6,7.6,1.2,2.9,240,"2026/04/04 09:00:00",0.2,23.2,37,0,120.685306,23.913,36
斗六,雲林縣,81,細懸浮微粒,普通,0.8,0.28,32,37,34,27,4,5.2,0.4,2.4,199,"2026/04/04 09:00:00",0.2,23.4,32,0,120.544994,23.711853,37
崙背,雲林縣,76,細懸浮微粒,普通,0.4,0.25,25,29,36,25,8,10.5,2.1,1.9,210,"2026/04/04 09:00:00",0.2,21.6,33,0,120.348742,23.757547,38
新港,嘉義縣,70,細懸浮微粒,普通,0.9,0.24,27,31,27,21,5,7,1.3,2.7,135,"2026/04/04 09:00:00",0.2,19.4,31,1,120.345531,23.554839,39
朴子,嘉義縣,67,細懸浮微粒,普通,0.5,0.31,21,27,31,17,9,11,1.9,1.6,358,"2026/04/04 09:00:00",0.2,18.2,34,1,120.2478,23.46538,40
臺西,雲林縣,61,細懸浮微粒,普通,1.2,0.24,26,29,29,15,3,4.7,1.4,3.3,188,"2026/04/04 09:00:00",0.2,16.1,30,1,120.19933333,23.702175,41
嘉義,嘉義市,73,細懸浮微粒,普通,1,0.25,22,31,38,20,4,5.7,0.8,1.7,230,"2026/04/04 09:00:00",0.2,20.7,37,1,120.44125148,23.46477865,42
新營,臺南市,71,細懸浮微粒,普通,0.9,0.28,20,27,36,22,6,8,1.2,2.1,174,"2026/04/04 09:00:00",0.2,19.7,35,1,120.31725,23.305633,43
