日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150401","2910","統領","24010","506560","20.85","21.30","20.85","21.20","0.2000","22"
"1150401","2911","麗嬰房","90838","461467","5.06","5.18","4.98","5.13","0.0300","213"
"1150401","2912","統一超","1816549","409426545","224.00","227.00","224.00","225.50","1.0000","2222"
"1150401","2913","農林","759714","9391581","12.30","12.45","12.30","12.30","0.1000","826"
"1150401","2915","潤泰全","2534416","121462257","47.35","48.35","47.25","48.20","1.3500","1308"
"1150401","2923","鼎固-KY","126999","2267468","17.95","18.30","17.35","17.65","0.0000","123"
"1150401","2929","淘帝-KY","384563","2413586","6.16","6.35","6.13","6.20","0.0700","294"
"1150401","2939","永邑-KY","18068","473595","26.40","26.40","26.00","26.00","-0.4000","82"
"1150401","2945","三商家購","33173","1352685","40.95","41.05","40.05","40.05","0.0500","40"
"1150401","3002","歐格","205914","3861062","18.80","19.00","18.60","18.60","0.2500","120"
"1150401","3003","健和興","197527","9794900","49.30","49.85","49.20","49.85","1.5500","172"
"1150401","3004","豐達科","496702","52233968","100.50","108.00","100.50","108.00","9.4000","712"
"1150401","3005","神基","9446472","929588717","100.00","101.00","96.80","97.70","0.2000","7033"
"1150401","3006","晶豪科","3462645","543550299","158.50","160.00","155.00","156.50","6.5000","3474"
"1150401","3008","大立光","375366","825837860","2215.00","2225.00","2185.00","2190.00","35.0000","2407"
"1150401","3010","華立","1615035","193986086","120.00","123.00","118.00","119.00","3.0000","1481"
"1150401","3011","今皓","610021","7515446","12.10","12.55","12.10","12.45","0.5000","346"
"1150401","3013","晟銘電","1895574","189922114","100.00","102.00","99.10","99.90","3.6000","2305"
"1150401","3014","聯陽","628011","72708133","116.00","116.50","115.00","116.00","1.5000","664"
"1150401","3015","全漢","197274","9954873","51.20","51.30","50.20","50.20","0.0000","201"
"1150401","3016","嘉晶","762439","40467273","54.20","54.20","52.40","52.80","1.0000","645"
"1150401","3017","奇鋐","4034786","8527625450","2120.00","2135.00","2065.00","2110.00","120.0000","10941"
"1150401","3018","隆銘綠能","1482","17733","12.00","12.00","12.00","12.00","0.1500","25"
"1150401","3019","亞光","1191760","147441248","124.00","125.00","123.00","123.00","2.0000","1418"
"1150401","3021","鴻名","50409","803708","15.90","16.00","15.80","15.90","0.2000","44"
"1150401","3022","威強電","790962","48592286","62.10","62.30","61.30","61.40","0.7000","421"
"1150401","3023","信邦","2797876","726756870","257.00","263.00","255.00","259.50","8.5000","2646"
"1150401","3024","憶聲","570794","5723931","10.05","10.10","10.00","10.00","0.0300","285"
"1150401","3025","星通","248781","14437039","57.10","58.50","57.10","58.30","2.3000","298"
"1150401","3026","禾伸堂","5160829","742008940","146.00","148.00","140.50","142.00","4.5000","4340"
"1150401","3027","盛達","265897","5208344","19.30","19.75","19.30","19.65","0.6000","249"
"1150401","3028","增你強","1708052","86684435","51.00","51.50","50.20","50.40","1.8000","1736"
"1150401","3029","零壹","2008755","191609113","94.70","96.50","94.30","95.90","2.4000","1799"
"1150401","3030","德律","6166316","1623847162","268.00","271.50","255.50","256.50","1.0000","7028"
"1150401","3031","佰鴻","796113","18146410","23.10","23.10","22.45","22.80","0.8000","530"
"1150401","3032","偉訓","308721","19546312","63.90","64.40","63.10","63.30","1.3000","401"
"1150401","3033","威健","2171028","70673135","32.50","32.70","32.40","32.60","0.8000","1218"
"1150401","3034","聯詠","3466484","1344587860","387.00","391.50","382.50","391.50","12.0000","4289"
"1150401","3035","智原","1349343","194386300","144.50","145.50","143.00","144.50","3.5000","1552"
"1150401","3036","文曄","10337848","2326915306","227.00","229.50","220.50","225.00","8.0000","8842"
"1150401","3037","欣興","8025819","3866123805","484.00","488.50","477.00","488.50","44.0000","6854"
"1150401","3038","全台","206533","4223498","20.35","20.60","20.25","20.25","0.2000","185"
"1150401","3040","遠見","233840","11992380","52.50","53.10","50.10","51.50","-1.0000","384"
"1150401","3041","揚智","409472","9126848","22.20","22.45","22.10","22.20","0.7000","411"
"1150401","3042","晶技","3351089","317053313","95.50","96.20","93.60","93.90","1.2000","3537"
"1150401","3043","科風","88036","1754141","20.00","20.10","19.80","20.00","0.3500","107"
"1150401","3044","健鼎","3487488","1249746695","350.50","366.50","349.00","355.00","16.5000","3986"
"1150401","3045","台灣大","4627575","505168192","109.00","109.50","108.50","109.50","0.5000","1998"
"1150401","3046","建碁","69646","3262734","46.60","47.30","46.60","46.60","0.3000","68"
"1150401","3047","訊舟","1073194","17285613","16.10","16.35","15.90","16.05","0.4500","726"
"1150401","3048","益登","1278286","44849163","35.40","35.65","34.60","34.70","0.2500","1501"
"1150401","3049","精金","9531138","112408141","11.95","12.10","11.60","11.70","0.2500","3888"
"1150401","3050","鈺德","535173","7089820","13.40","13.40","13.15","13.25","0.3000","322"
"1150401","3051","力特","353263","7151053","20.05","20.45","20.00","20.10","0.4000","317"
"1150401","3052","夆典","432165","4760521","11.05","11.05","10.95","11.00","0.0000","471"
"1150401","3054","立萬利","443411","32532227","72.30","74.30","71.20","74.30","6.7000","266"
"1150401","3055","蔚華科","141214","8167848","56.10","58.50","56.10","58.50","2.6000","130"
"1150401","3056","富華新","1011100","15098543","15.00","15.05","14.75","14.95","0.2000","579"
"1150401","3057","喬鼎","148654","2328633","15.30","15.95","15.30","15.75","0.5500","161"
"1150401","3058","立德","664630","6331064","9.43","9.66","9.40","9.50","0.1700","499"
"1150401","3059","華晶科","1277669","45871760","36.00","36.40","35.85","36.10","1.0000","742"
"1150401","3060","銘異","1731496","50507775","29.55","29.75","28.90","28.90","0.4500","1211"
"1150401","3062","建漢","17579110","568935076","31.50","32.60","31.50","32.60","2.9500","5855"
"1150401","3090","日電貿","1032893","96187214","93.00","93.80","92.40","92.50","2.0000","1074"
"1150401","3092","鴻碩","287236","8217962","28.70","29.00","28.30","28.75","1.0000","255"
"1150401","3094","聯傑","158189","3577413","22.45","22.75","22.45","22.65","0.4500","138"
"1150401","3130","一零四","28202","6231279","221.00","221.00","220.50","221.00","1.0000","159"
"1150401","3135","凌航","863893","92141977","108.00","108.00","105.50","106.50","4.5000","958"
"1150401","3138","耀登","2371756","410552391","176.00","177.50","168.00","170.50","3.0000","3843"
"1150401","3149","正達","3489942","158942969","45.80","46.45","44.80","45.15","1.6000","2648"
"1150401","3150","鈺寶-創","121542","2156379","17.35","18.35","17.00","17.30","0.0000","123"
"1150401","3164","景岳","53023","979646","18.45","18.60","18.20","18.50","0.4000","140"
"1150401","3167","大量","8949577","3538580090","396.50","405.00","376.00","405.00","36.5000","8144"
"1150401","3168","眾福科","19818","814658","40.90","41.45","40.85","40.85","-0.1500","71"
"1150401","3189","景碩","7162420","2363791275","335.00","335.00","321.00","332.00","19.0000","10416"
"1150401","3209","全科","2916875","122212342","42.30","42.85","41.10","41.50","0.0500","2090"
"1150401","3229","晟鈦","102172","1973663","19.60","19.70","19.00","19.60","-0.1000","94"
"1150401","3231","緯創","21099952","2668050161","126.00","127.50","125.00","127.00","4.5000","12212"
"1150401","3257","虹冠電","150783","8025898","53.50","53.50","52.60","53.50","1.7000","150"
"1150401","3266","昇陽","61000","805850","13.15","13.45","13.10","13.15","0.0500","45"
"1150401","3296","勝德","48523","1070343","22.15","22.20","21.70","21.95","0.1000","55"
