日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20251221,173854,34701,32520,67221,30561,26696,57257,124478,10361,8521,18882,2974,2983,5957,2,0,2,1737,1601,3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4554,4486,9040,2711,3101,5812,2,0,2,246,130,376,4,0,4,0,0,0,3031,2929,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251222,158548,33867,30778,64645,30043,25697,55740,120385,10055,8309,18364,0,0,0,15,12,27,15,15,30,0,0,0,0,0,0,0,0,0,6,0,6,1,1,2,4284,4166,8450,2636,2938,5574,91,60,151,0,0,0,4,0,4,0,0,0,2707,2733,5440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,46,68,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251223,168293,33641,31209,64850,28901,26050,54951,119801,9850,8828,18678,4830,4837,9667,7,10,17,38,49,87,0,0,0,0,0,0,0,0,0,91,145,236,25,19,44,4139,4300,8439,2834,3177,6011,60,110,170,80,39,119,0,3,3,0,0,0,2423,2489,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,15,15,0,0,0,43,49,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251224,164694,32668,33821,66489,28579,27923,56502,122991,9837,9880,19717,2,2,4,11,19,30,21,24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4662,4872,9534,2223,3430,5653,81,206,287,0,0,0,1,1,2,0,0,0,3143,3211,6354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,8,11,0,0,0,33,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251225,170546,33788,34887,68675,29596,30334,59930,128605,9633,9935,19568,2,1,3,12,6,18,18,18,36,0,0,0,0,0,0,0,0,0,175,180,355,0,0,0,4173,4495,8668,3004,3760,6764,36,116,152,238,235,473,3,0,3,0,0,0,2822,3000,5822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,1,0,1,0,0,0,35,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251226,168921,33870,32483,66353,30464,26341,56805,123158,10358,9724,20082,3,1,4,18,2,20,1573,2046,3619,1,0,1,0,9,9,0,0,0,144,126,270,3,1,4,4500,3866,8366,3448,3510,6958,35,79,114,1,10,11,0,0,0,0,0,0,3091,3147,6238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,24,27,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251227,176539,36082,32782,68864,29444,26891,56335,125199,9888,9331,19219,5207,5259,10466,4,4,8,15,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4574,3699,8273,3838,3094,6932,123,137,260,68,70,138,1,1,2,0,0,0,3175,2749,5924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,11,11,0,0,0,45,28,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251228,174975,37176,33458,70634,32064,26253,58317,128951,10481,9294,19775,0,2,2,22,19,41,2053,1536,3589,0,0,0,0,0,0,0,0,0,186,165,351,2,1,3,4685,3804,8489,3837,2759,6596,164,77,241,185,266,451,0,0,0,0,0,0,3410,2942,6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,86,41,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251229,159280,34652,31610,66262,28617,24534,53151,119413,10095,8560,18655,722,2,724,13,5,18,12,12,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4502,3570,8072,3778,2510,6288,93,68,161,0,0,0,2,1,3,0,0,0,2998,2756,5754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,11,11,0,0,0,96,55,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251230,155842,30845,32759,63604,26582,27711,54293,117897,9523,9439,18962,0,3,3,52,24,76,26,14,40,0,0,0,321,0,321,0,0,0,137,121,258,0,0,0,4306,3984,8290,2615,1444,4059,67,59,126,42,86,128,0,0,0,0,0,0,2644,2618,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,153,156,309,63,46,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251231,170057,30426,33908,64334,25286,28275,53561,117895,8842,10096,18938,5283,5253,10536,13,1,14,7,41,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4787,4464,9251,2950,3413,6363,33,61,94,186,180,366,0,0,0,0,0,0,3229,3268,6497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,41,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
