statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
114,屏東縣瑪家鄉,6647,78.7008,84.45911604
114,屏東縣泰武鄉,5190,118.6266,43.75072707
114,屏東縣來義鄉,7282,167.7756,43.40321239
114,屏東縣春日鄉,4857,160.001,30.35606027
114,屏東縣獅子鄉,4825,301.0018,16.02980447
114,屏東縣牡丹鄉,4671,181.8366,25.68789782
114,臺東縣臺東市,102681,109.7691,935.4271831
114,臺東縣成功鎮,12754,143.9939,88.5731965
114,臺東縣關山鎮,7757,58.7351,132.0675371
114,臺東縣卑南鄉,16264,412.6871,39.41000337
114,臺東縣大武鄉,5327,69.1454,77.04055512
114,臺東縣太麻里鄉,10375,96.6523,107.3435397
114,臺東縣東河鄉,7710,210.1908,36.68095844
114,臺東縣長濱鄉,6469,155.1868,41.68524643
114,臺東縣鹿野鄉,6924,89.698,77.19235657
114,臺東縣池上鄉,7529,82.6854,91.05597844
114,臺東縣綠島鄉,4327,15.0919,286.7100895
114,臺東縣延平鄉,3547,455.8805,7.780547753
114,臺東縣海端鄉,4317,880.0382,4.905468876
114,臺東縣達仁鄉,3437,306.4454,11.21570107
114,臺東縣金峰鄉,3682,380.6635,9.672584842
114,臺東縣蘭嶼鄉,5220,48.3892,107.875311
114,花蓮縣花蓮市,96860,29.4095,3293.493599
114,花蓮縣鳳林鎮,10136,120.5181,84.10354959
114,花蓮縣玉里鎮,21277,252.3719,84.3081183
114,花蓮縣新城鄉,20492,29.4095,696.7816522
114,花蓮縣吉安鄉,83004,65.2582,1271.93211
114,花蓮縣壽豐鄉,16628,218.4448,76.11991679
114,花蓮縣光復鄉,11478,157.11,73.05709376
114,花蓮縣豐濱鄉,4082,162.4332,25.1303305
114,花蓮縣瑞穗鄉,10388,135.5862,76.61546677
114,花蓮縣富里鄉,9386,176.3705,53.21751653
114,花蓮縣秀林鄉,17178,1641.8555,10.46255289
114,花蓮縣萬榮鄉,6047,618.491,9.777021816
114,花蓮縣卓溪鄉,5851,1021.313,5.728899955
114,澎湖縣馬公市,63282,33.9918,1861.684289
114,澎湖縣湖西鄉,16131,33.3008,484.4027771
114,澎湖縣白沙鄉,10084,20.0875,502.0037337
114,澎湖縣西嶼鄉,8039,18.7148,429.553081
114,澎湖縣望安鄉,5266,13.7824,382.0814952
114,澎湖縣七美鄉,3914,6.9868,560.1992328
114,基隆市中正區,51542,10.2118,5047.298224
114,基隆市七堵區,52169,56.2659,927.1868041
114,基隆市暖暖區,38462,22.8283,1684.838556
114,基隆市仁愛區,39689,4.2335,9374.985237
114,基隆市中山區,45556,10.5238,4328.854596
114,基隆市安樂區,79850,18.025,4429.958391
114,基隆市信義區,52568,10.6706,4926.433378
114,新竹市東區,222219,33.5768,6618.230445
114,新竹市北區,153915,15.7267,9786.85929
114,新竹市香山區,79606,54.8491,1451.363833
114,嘉義市東區,116567,30.1556,3865.517516
114,嘉義市西區,145025,29.87,4855.205892
114,金門縣金城鎮,40998,21.713,1888.177589
114,金門縣金湖鎮,30545,41.696,732.5642748
114,金門縣金沙鎮,19840,41.19,481.6703083
114,金門縣金寧鄉,35287,29.854,1181.985664
114,金門縣烈嶼鄉,12050,16.003,752.9838155
114,金門縣烏坵鄉,593,1.2,494.1666667
114,連江縣南竿鄉,7629,10.4,733.5576923
114,連江縣北竿鄉,2930,9.9,295.959596
114,連江縣莒光鄉,1537,4.7,327.0212766
114,連江縣東引鄉,1525,3.8,401.3157895
114,東沙群島,… ,2.38,… 
114,南沙群島,… ,0.5045,… 
